Player_Game_ID,Team,Game,Player_ID,#,Name,Pos,Time on ice,ZEX,CEX All,CEX Not Press,CEX Press,DEX,FEX,ZEN,CEN,DEN,FEN,DR,TOT,CEX,EXD,END,CORSI-,CORSI+
9.FIN14,FIN,9,FIN14,14,Kerttu Lehmus,F,3.59,16.71309192,0,0,0,0,16.71309192,0,0,0,0,0,16.71309192,0,0,0,133.7047354,33.42618384
6.USA18,USA,6,USA18,18,Claire Enright,F,7.34,16.34877384,0,0,0,16.34877384,0,40.8719346,24.52316076,16.34877384,0,16.34877384,81.74386921,0,8.174386921,0,65.39509537,81.74386921
3.SWE4,SWE,3,SWE4,4,Olivia Sohrner,D,3.673469388,16.33333333,0,0,0,0,16.33333333,0,0,0,0,0,16.33333333,0,0,32.66666667,130.6666667,0
2.USA2,USA,2,USA2,2,Molly Jordan,D,11.25,16,0,0,0,0,16,5.333333333,0,0,5.333333333,0,21.33333333,0,0,10.66666667,32,69.33333333
10.SWE10,SWE,10,SWE10,10,Nicole Hall,F,15.05,15.94684385,0,0,0,3.986710963,11.96013289,11.96013289,0,7.973421927,3.986710963,0,35.88039867,0,7.973421927,0,99.66777409,35.88039867
2.USA14,USA,2,USA14,14,Elyssa Biederman,F,7.697368421,15.58974359,0,0,0,0,15.58974359,7.794871795,7.794871795,0,0,7.794871795,31.17948718,0,0,7.794871795,15.58974359,85.74358974
5.FIN28,FIN,5,FIN28,28,Pauliina Salonen,F,16.1,14.9068323,0,0,0,11.18012422,3.726708075,22.36024845,11.18012422,3.726708075,7.453416149,3.726708075,44.72049689,0,3.726708075,7.453416149,40.99378882,81.98757764
3.SWE27,SWE,3,SWE27,27,Sofia Ljung,D,12.39795918,14.51851852,0,0,0,0,14.51851852,4.839506173,0,0,4.839506173,0,19.35802469,0,0,38.71604938,91.95061728,38.71604938
8.SWE28,SWE,8,SWE28,28,Moa Gustafsson,F,4.21,14.25178147,0,0,0,14.25178147,0,42.75534442,28.50356295,0,14.25178147,0,71.25890736,0,14.25178147,0,28.50356295,85.51068884
4.FIN26,FIN,4,FIN26,26,Peppi Virtanen,F,9.35,12.8342246,0,0,0,6.417112299,6.417112299,19.2513369,6.417112299,12.8342246,0,0,38.5026738,0,6.417112299,6.417112299,83.42245989,0
10.SWE24,SWE,10,SWE24,24,Ebba Hedqvist,F,14.2,12.67605634,0,0,0,0,12.67605634,12.67605634,12.67605634,0,0,0,25.35211268,0,0,8.450704225,143.6619718,12.67605634
3.SWE28,SWE,3,SWE28,28,Moa Gustafsson,F,9.642857143,12.44444444,0,0,0,0,12.44444444,24.88888889,6.222222222,6.222222222,12.44444444,0,49.77777778,0,12.44444444,6.222222222,99.55555556,31.11111111
4.USA16,USA,4,USA16,16,Grace Dwyer,D,19.43,12.35203294,0,0,0,3.088008235,9.264024704,6.176016469,0,6.176016469,0,3.088008235,33.96809058,0,12.35203294,37.05609882,12.35203294,67.93618116
1.CAN14,CAN,1,CAN14,14,Emmalee Pais,F,15.13157895,11.89565217,0,0,0,3.965217391,7.930434783,11.89565217,7.930434783,3.965217391,0,3.965217391,27.75652174,0,0,0,27.75652174,71.37391304
3.SWE11,SWE,3,SWE11,11,Julia Perjus,F,15.15306122,11.87878788,0,0,0,3.95959596,7.919191919,15.83838384,0,3.95959596,11.87878788,0,35.63636364,0,7.919191919,0,63.35353535,67.31313131
6.USA11,USA,6,USA11,11,Josie St. Martin,F,5.06,11.85770751,0,0,0,0,11.85770751,23.71541502,0,23.71541502,0,0,35.57312253,0,0,0,59.28853755,0
5.SWE14,SWE,5,SWE14,14,Ella Jamsen,F,5.22,11.49425287,0,0,0,11.49425287,0,11.49425287,11.49425287,0,0,0,22.98850575,0,0,0,114.9425287,22.98850575
